#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-19-54-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566571683.342646	CM3OLnUVb2JP5sUVg	192.168.134.135	7131	172.217.12.134	443	premature_connection_reuse	-	F	bro
1566571848.919315	CsY6rm1pf0TM1iV2md	192.168.134.131	23516	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.062006	CGEwZI30YKA7WBR1j	192.168.134.131	23518	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.094658	CBWYyU2EB52E61vDL6	192.168.134.131	23519	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.097562	CDI1JQ3qDvtDsW5oe5	192.168.134.131	23520	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.120264	Cl6T6W2OAmM0xithL9	192.168.134.131	23521	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.559754	CNVefl42BIV2IGFWe3	192.168.134.131	23522	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.578642	CIKrqo3yoqL3vQkoY8	192.168.134.131	23523	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.682594	C0zx7t4f3Ab9UHKN3k	192.168.134.131	23524	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.724052	CEun792f497r4vGS9e	192.168.134.131	23525	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.749073	Caom721law4MHlYIEk	192.168.134.131	23526	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571849.768198	C1iPGY1BXlmKSVYCig	192.168.134.131	23527	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571850.198830	CAZQYD3BtyxtBF2yX1	192.168.134.131	23529	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571850.200275	Cw6vYw2jV8FaHhsII5	192.168.134.131	23530	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571850.314146	CZhWi441B1uMkmbCm1	192.168.134.131	23531	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571850.360816	CROspH2k2oHN2eI2gc	192.168.134.131	23532	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571850.386459	CxpQQkmmk4QkYiYMg	192.168.134.131	23533	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571850.430571	Cnr7ZJ1GPbbCMTMX2d	192.168.134.131	23534	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571850.823366	CCfHFh1pvxs49Gcvqf	192.168.134.131	23536	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571850.824504	CobpYco3Mt4NCNnMi	192.168.134.131	23535	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.096560	CGBapZBIcWr1hyKTj	192.168.134.131	23537	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.116131	CusH1g2UjF5LVmCPP8	192.168.134.131	23538	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.146235	CMH72m3w5ionEDAAYa	192.168.134.131	23539	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.214532	CnQqBb38DJx6DpVQgi	192.168.134.131	23540	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.439399	CIi9G5odkbQSvpUFh	192.168.134.131	23541	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.503942	CRrEuu1YcIwNnFOL2b	192.168.134.131	23542	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.757863	CkUHGG3X0XKEgw1aq3	192.168.134.131	23543	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.764846	CoJGFq3z9LnbIqyv99	192.168.134.131	23544	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.767834	CwM1mv4bghjlkDSUo5	192.168.134.131	23545	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571851.832737	Cd1dvY279e7wHLIKV9	192.168.134.131	23546	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571852.509690	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571852.509690	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571852.571090	CXSz6F2K67gM9cHAG7	192.168.134.131	23547	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571852.895778	CMzGOu2R7meUi3BPRc	192.168.134.131	23548	43.250.239.4	80	unescaped_special_URI_char	-	F	bro
1566571855.360535	CPv6H53z4OYTHuj72i	192.168.134.131	23561	103.25.21.68	80	unescaped_%_in_URI	-	F	bro
1566571858.651007	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571858.651007	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571936.383064	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571936.383064	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571942.242345	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566571942.242702	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566571942.696728	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571950.931379	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571973.303122	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571973.309985	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566571987.893775	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572003.500541	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572052.171049	CRLG1LN8Bdx3b1Xll	192.168.134.131	23790	199.166.0.26	80	unescaped_special_URI_char	-	F	bro
1566572052.172757	Cn6g264CK7KpLHGPe1	192.168.134.131	23795	199.166.0.26	80	unescaped_special_URI_char	-	F	bro
1566572052.391720	Cq6IQu4FOC8w1qGfh5	192.168.134.131	23796	104.244.39.20	80	unescaped_special_URI_char	-	F	bro
1566572052.407011	Cze5cBkIEsYIK7CVj	192.168.134.131	23798	104.244.39.20	80	unescaped_special_URI_char	-	F	bro
1566572052.481626	Cg1fN31dbTxbXzp3yh	192.168.134.131	23800	104.244.39.20	80	unescaped_special_URI_char	-	F	bro
1566572052.604228	Ca7P4G3GyjPZpQG3	192.168.134.131	23802	104.244.39.20	80	unescaped_special_URI_char	-	F	bro
1566572053.226559	CXe1NR2Uw6hXwRIhD6	192.168.134.131	23803	104.244.39.20	80	unescaped_special_URI_char	-	F	bro
1566572066.044418	Cx7GgJ3bpYPNcdy0h2	192.168.134.131	23838	104.244.39.20	80	unescaped_special_URI_char	-	F	bro
1566572066.048107	CybLuV2jeLCfyTHku7	192.168.134.131	23837	104.244.39.20	80	unescaped_special_URI_char	-	F	bro
1566572145.179944	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572159.115285	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572328.952432	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572328.952432	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572338.952699	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572338.952699	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572435.009465	CCgtdb2qbliDeYeIje	192.168.134.129	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566572435.010048	C86pd41Hco7ykaIrq3	fe80::75f8:a759:bc14:e464	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566572442.719945	C5EQyRgU8QVeMuTTj	192.168.134.134	18972	172.217.10.70	443	SYN_after_close	-	F	bro
1566572465.129121	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572465.129121	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572486.611219	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572486.611219	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572489.613140	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572489.613140	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572495.601725	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572495.979667	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572495.992365	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572499.615652	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572501.160832	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572505.989591	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572510.611339	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566572514.282638	-	-	-	-	-	dns_unmatched_msg	-	F	bro
#close	2019-11-16-19-55-07
