#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2019-11-16-20-11-07
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]
1566626452.568034	CerkZA4ceLCJzkbIH1	192.168.134.129	26380	34.200.30.249	80	1	GET	wright.edu	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	229	307	Temporary Redirect	-	-	-	(empty)	-	-	-	-	-	FsLyS84MMYi7ddTVtb	text/html
1566626453.014038	CvDpZa1z8E6EGLRoRf	192.168.134.130	40006	107.23.245.220	80	4	GET	whfoods.com	/images/foodslist.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	15054	200	OK	-	-	-	(empty)	-	-	-	-	-	FTiIWr12YrSBtQ4gxg	image/jpeg
1566626453.015360	COK3073qguB4uUHrX6	192.168.134.130	40010	107.23.245.220	80	2	GET	whfoods.com	/weeklyimages/collard-greens-recipe.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	14959	200	OK	-	-	-	(empty)	-	-	-	-	-	FerhOo2KDS2vBBlHlk	image/jpeg
1566626453.090470	CWDDmJ219BeVGG2Nq9	192.168.134.130	40012	107.23.245.220	80	1	GET	whfoods.com	/images/whfmealplan2018.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	15685	200	OK	-	-	-	(empty)	-	-	-	-	-	F5pKH621giQ0ZJe7gh	image/jpeg
1566626453.124576	CJtN0r2s6LkwlM8vOa	192.168.134.132	32560	104.20.82.124	80	1	GET	yesmagazine.org	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1566626453.161637	CGa3k22bsijW6Yfeqi	192.168.134.130	40011	107.23.245.220	80	1	GET	whfoods.com	/images/nutrientrichcooking.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	14696	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe9sa53xVBEHkz2bw5	image/jpeg
1566626453.238940	CWDDmJ219BeVGG2Nq9	192.168.134.130	40012	107.23.245.220	80	2	GET	whfoods.com	/images/recipes2.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	15953	200	OK	-	-	-	(empty)	-	-	-	-	-	FFbWjO1yNugVQCmU37	image/jpeg
1566626453.238185	CGa3k22bsijW6Yfeqi	192.168.134.130	40011	107.23.245.220	80	2	GET	whfoods.com	/images/readerstories.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	17161	200	OK	-	-	-	(empty)	-	-	-	-	-	FdHTl31LfPkhNi9Mck	image/jpeg
1566626453.239562	COK3073qguB4uUHrX6	192.168.134.130	40010	107.23.245.220	80	3	GET	whfoods.com	/images/vga.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	13545	200	OK	-	-	-	(empty)	-	-	-	-	-	FFwHyX1tHSF2gisFA9	image/jpeg
1566626453.246728	CvDpZa1z8E6EGLRoRf	192.168.134.130	40006	107.23.245.220	80	5	GET	whfoods.com	/images/organicfoods.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	16434	200	OK	-	-	-	(empty)	-	-	-	-	-	FMQoGj3Y3AlTNO6jSe	image/jpeg
1566626453.247530	CVzhLE4fJc7FwTNG86	192.168.134.130	40009	107.23.245.220	80	4	GET	whfoods.com	/images/QA.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	12691	200	OK	-	-	-	(empty)	-	-	-	-	-	FWJXOt4GhS0t5uyWEh	image/jpeg
1566626453.248008	CmItsg1wHleoA04Xig	192.168.134.130	40008	107.23.245.220	80	4	GET	whfoods.com	/images/2nd_book_web_square.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	18522	200	OK	-	-	-	(empty)	-	-	-	-	-	FJRXLg3eIZk2mexIS	image/jpeg
1566626453.325056	CvDpZa1z8E6EGLRoRf	192.168.134.130	40006	107.23.245.220	80	6	GET	whfoods.com	/images/askgeorge2.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	7895	200	OK	-	-	-	(empty)	-	-	-	-	-	FXLllw4xJ9WpksG6Bb	image/jpeg
1566626453.323909	CVzhLE4fJc7FwTNG86	192.168.134.130	40009	107.23.245.220	80	5	GET	whfoods.com	/images/donaterefs.jpg	http://whfoods.com/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	11873	200	OK	-	-	-	(empty)	-	-	-	-	-	FJiZ2334RqCNxl8D2f	image/jpeg
1566626458.667489	CkFfVF2TL8X6bE4ZL3	192.168.134.130	40014	144.202.46.214	80	1	POST	144.202.46.214	/504vsa/server/vssvc.php	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	95	237	200	OK	-	-	-	(empty)	-	-	-	FCmTyg2KHsPOE8N8Y7	text/plain	F3kAla43YXfIq6uJo3	text/html
1566626458.721151	Cjmhio4VRXizqdwTn7	192.168.134.132	32575	13.33.73.109	80	1	GET	flock.com	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	183	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FbZbqYhezZYUxoOF6	text/html
1566626460.432444	CpsJQ125qVT1WQJ8Tc	192.168.134.134	44125	217.147.247.144	80	1	GET	mtv.co.uk	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	229	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FQNlT53g8lpEjQtlhl	text/html
1566626460.599073	CcWi8d13gKAnF36C2g	192.168.134.134	44126	23.59.251.234	80	1	GET	www.mtv.co.uk	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	193498	200	OK	-	-	-	(empty)	-	-	-	-	-	FzLcAV2ReZbBQoKfQd	text/html
1566626460.927134	CcWi8d13gKAnF36C2g	192.168.134.134	44126	23.59.251.234	80	2	GET	www.mtv.co.uk	/sites/default/files/css/css_PpiQEI-azlEmknynFVbTW6pWwXhVPT_fbABYbBL6JWQ.css	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	2434	200	OK	-	-	-	(empty)	-	-	-	-	-	FAaqtFz0CJxqMj6c1	text/plain
1566626460.937850	CTqdsd1klfhPUqVsBl	192.168.134.134	44127	23.59.251.234	80	1	GET	www.mtv.co.uk	/sites/default/files/css/css_PZQDUhEB2ZFZuxA5aWVrAgE3-yPD0kGm0a2oYgEOYfU.css	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	290	200	OK	-	-	-	(empty)	-	-	-	-	-	FcQFo01P3KAYzoq2L4	text/plain
1566626460.941267	Cvfz2n36CDlkB8Ixz5	192.168.134.134	44128	23.59.251.234	80	1	GET	www.mtv.co.uk	/sites/default/files/css/css_q4ettwJXxgJ1K_EvWy1ySFkrmGV3p_ahVKs3zCtRc5o.css	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	908	200	OK	-	-	-	(empty)	-	-	-	-	-	F8tD8BHGPHy0h9Kfi	text/plain
1566626460.940950	CUaHM3JP2xSKLhE7h	192.168.134.134	44129	23.59.251.234	80	1	GET	www.mtv.co.uk	/sites/default/files/css/css_bcWMQ7xHnKsKrFXkNtvGd5sbuKzFWveJ7DRJ7kD0rlY.css	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	8328	200	OK	-	-	-	(empty)	-	-	-	-	-	FSkP5I6uZsayE6E9h	text/plain
1566626460.947604	CpDHMq29HXpRYbHhFa	192.168.134.134	44130	23.59.251.234	80	1	GET	www.mtv.co.uk	/sites/default/files/css/css_sRoiJhQvJQq6QeaA_k2TBTUGBBlzX2SqcMVA03KcM3A.css	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	518	200	OK	-	-	-	(empty)	-	-	-	-	-	FTvaly2LQN6h0rdS8a	text/plain
1566626461.116355	CUaHM3JP2xSKLhE7h	192.168.134.134	44129	23.59.251.234	80	2	GET	www.mtv.co.uk	/sites/all/modules/contrib/jquery_update/replace/ui/ui/minified/jquery.ui.core.min.js?v=1.10.2	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	4289	200	OK	-	-	-	(empty)	-	-	-	-	-	FXmrPb4nsF3srGJpNl	text/plain
1566626460.947796	COQi7a1GJbT7Y0q1xb	192.168.134.134	44131	23.59.251.234	80	1	GET	www.mtv.co.uk	/sites/default/files/css/css_PFTkY5MiymRw2S1s9LZz8ozQmObmwILxP8dT_SKAg8s.css	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	230341	200	OK	-	-	-	(empty)	-	-	-	-	-	F8jFbw1AUrYnN8pHca	text/plain
1566626461.104511	CTqdsd1klfhPUqVsBl	192.168.134.134	44127	23.59.251.234	80	2	GET	www.mtv.co.uk	/sites/default/files/css/css__gAIxZR1pu4EVLqo_tMpFJ_Y93cB9rTxIVbl5yK3BAw.css	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	5363	200	OK	-	-	-	(empty)	-	-	-	-	-	FL7itf2IOgiE3BTAFf	text/plain
1566626461.111979	Cvfz2n36CDlkB8Ixz5	192.168.134.134	44128	23.59.251.234	80	2	GET	www.mtv.co.uk	/misc/jquery-extend-3.4.0.js?v=1.8.3	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	3415	200	OK	-	-	-	(empty)	-	-	-	-	-	F28CA81fIy2Ml7sNzh	text/plain
1566626461.138509	CpDHMq29HXpRYbHhFa	192.168.134.134	44130	23.59.251.234	80	2	GET	www.mtv.co.uk	/misc/drupal.js?pt8nsl	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	20219	200	OK	-	-	-	(empty)	-	-	-	-	-	FZxJ8t1EZHJvJNNEdg	text/plain
1566626461.153731	CUaHM3JP2xSKLhE7h	192.168.134.134	44129	23.59.251.234	80	3	GET	www.mtv.co.uk	/misc/jquery.once.js?v=1.2	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	2974	200	OK	-	-	-	(empty)	-	-	-	-	-	FXjmxM1cVuR9TgwgEi	text/plain
1566626461.003377	CdRveG4olG8ilEs826	192.168.134.134	44133	172.232.19.74	80	1	GET	btg.mtvnservices.com	/aria/bentojs.js?site=mtv.co.uk&v=1.10.1	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	653756	200	OK	-	-	-	(empty)	-	-	-	-	-	FCN3Lw2XXD60qv2sS2	text/plain
1566626461.107147	CcWi8d13gKAnF36C2g	192.168.134.134	44126	23.59.251.234	80	3	GET	www.mtv.co.uk	/sites/all/modules/contrib/jquery_update/replace/jquery/1.8/jquery.min.js?v=1.8.3	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	93636	200	OK	-	-	-	(empty)	-	-	-	-	-	Frl4TywhlQUiDMdXg	text/plain
1566626461.348812	CpDHMq29HXpRYbHhFa	192.168.134.134	44130	23.59.251.234	80	3	GET	www.mtv.co.uk	/sites/all/modules/contrib/jquery_update/replace/ui/ui/minified/jquery.ui.widget.min.js?v=1.10.2	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	6488	200	OK	-	-	-	(empty)	-	-	-	-	-	FpGX6K3qdH0RYfaub9	text/plain
1566626461.003718	CF0JL68LRDVyaGIIl	192.168.134.134	44134	172.232.19.97	80	1	GET	media.mtvnservices.com	/pjs/mgid:noah:video:mtv.co.uk:	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	154	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FHdanp1FfoYzgHoTji	text/html
1566626461.354514	CUaHM3JP2xSKLhE7h	192.168.134.134	44129	23.59.251.234	80	4	GET	www.mtv.co.uk	/sites/all/modules/contrib/jquery_update/replace/ui/ui/minified/jquery.ui.mouse.min.js?v=1.10.2	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	2841	200	OK	-	-	-	(empty)	-	-	-	-	-	F7Efrk1ow5qmqIPl7i	text/plain
1566626461.223985	COQi7a1GJbT7Y0q1xb	192.168.134.134	44131	23.59.251.234	80	2	GET	www.mtv.co.uk	/misc/ajax.js?v=7.67	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	25035	200	OK	-	-	-	(empty)	-	-	-	-	-	FwnhhifiMDTjd5N8	text/plain
1566626461.273193	CTqdsd1klfhPUqVsBl	192.168.134.134	44127	23.59.251.234	80	3	GET	www.mtv.co.uk	/sites/all/libraries/backbone/backbone-min.js?v=0.9.2	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	23355	200	OK	-	-	-	(empty)	-	-	-	-	-	FQPM2B4cfEJ8jnI8K4	text/plain
1566626461.285481	Cvfz2n36CDlkB8Ixz5	192.168.134.134	44128	23.59.251.234	80	3	GET	www.mtv.co.uk	/sites/all/libraries/underscore/underscore-min.js?v=1.4.2	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	16449	200	OK	-	-	-	(empty)	-	-	-	-	-	FG7MeE3cjHkqkUmcia	text/plain
1566626461.383365	CcWi8d13gKAnF36C2g	192.168.134.134	44126	23.59.251.234	80	4	GET	www.mtv.co.uk	/sites/all/libraries/jquery.mousewheel/jquery.mousewheel.js?v=3.0.6	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	3846	200	OK	-	-	-	(empty)	-	-	-	-	-	FtnDq44YKmYiwoAgp3	text/plain
1566626461.500986	CTjz4G2xytBRG89Qp7	192.168.134.134	44135	172.232.19.97	80	1	GET	media.mtvnservices.com	/edge/player/edgeplayer-2.1.4.min.js	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	494432	200	OK	-	-	-	(empty)	-	-	-	-	-	FqFRMMwybvx7tsNia	text/plain
1566626461.423521	COQi7a1GJbT7Y0q1xb	192.168.134.134	44131	23.59.251.234	80	3	GET	www.mtv.co.uk	/sites/all/modules/contrib/jquery_update/replace/ui/external/jquery.cookie.js?v=67fb34f6a866c40d0570	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	3655	200	OK	-	-	-	(empty)	-	-	-	-	-	FaYFXU1uk7wy0j6Z64	text/plain
1566626461.421370	CpDHMq29HXpRYbHhFa	192.168.134.134	44130	23.59.251.234	80	4	GET	www.mtv.co.uk	/sites/all/libraries/jquery.jcarousel/jquery.jcarousel.min.js?v=0.3.0-beta	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	15650	200	OK	-	-	-	(empty)	-	-	-	-	-	FPeIA4uJ70kCaZ19j	text/plain
1566626461.570597	CcWi8d13gKAnF36C2g	192.168.134.134	44126	23.59.251.234	80	5	GET	www.mtv.co.uk	/sites/all/modules/contrib/jquery_update/js/jquery_update.js?v=0.0.1	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	302	200	OK	-	-	-	(empty)	-	-	-	-	-	FQGcL8Wlmt7ylyczd	text/plain
1566626461.422320	CUaHM3JP2xSKLhE7h	192.168.134.134	44129	23.59.251.234	80	5	GET	www.mtv.co.uk	/sites/all/modules/contrib/jquery_update/replace/ui/ui/minified/jquery.ui.slider.min.js?v=1.10.2	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	10202	200	OK	-	-	-	(empty)	-	-	-	-	-	FL7dNC1OX8MboKj9Fh	text/plain
1566626461.459039	CTqdsd1klfhPUqVsBl	192.168.134.134	44127	23.59.251.234	80	4	GET	www.mtv.co.uk	/sites/all/modules/vimn/frontend/vimn_listings/modules/vimn_listings_loadmore/js/vimn_listings_loadmore.min.js?pt8nsl	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	1897	200	OK	-	-	-	(empty)	-	-	-	-	-	FhJy0a1Kw4rQeOGYmg	text/plain
1566626461.461480	Cvfz2n36CDlkB8Ixz5	192.168.134.134	44128	23.59.251.234	80	4	GET	www.mtv.co.uk	/sites/all/modules/vimn/frontend/vimn_listings/modules/vimn_listings_limitsbyviewport/js/vimn_listings_limitsbyviewport.min.js?pt8nsl	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	FrN0mw2bghzjXGAcgk	text/plain
1566626461.588172	COQi7a1GJbT7Y0q1xb	192.168.134.134	44131	23.59.251.234	80	4	GET	www.mtv.co.uk	/sites/all/modules/vimn/frontend/vimn_navigation/js/vimn_navigation.min.js?pt8nsl	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	2675	200	OK	-	-	-	(empty)	-	-	-	-	-	FCGXQ52XI9ZnFMNHa9	text/plain
1566626461.592970	CpDHMq29HXpRYbHhFa	192.168.134.134	44130	23.59.251.234	80	5	GET	www.mtv.co.uk	/sites/all/modules/vimn/vimn_entities/vimn_article/js/swiper.min.js?pt8nsl	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	327	200	OK	-	-	-	(empty)	-	-	-	-	-	FwB6923AX0rsK6M9Gb	text/plain
1566626461.615045	CcWi8d13gKAnF36C2g	192.168.134.134	44126	23.59.251.234	80	6	GET	www.mtv.co.uk	/sites/all/modules/vimn/vimn_entities/vimn_epg/js/vimn-epg.min.js?pt8nsl	http://www.mtv.co.uk/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	1125	200	OK	-	-	-	(empty)	-	-	-	-	-	FuLvE72eeUACbHo6d6	text/plain
