#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-20-09-51
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566622412.386323	CvSwVD1Ew7Fobfnn55	192.168.134.134	37573	23.43.252.9	443	TCP_ack_underflow_or_misorder	-	F	bro
1566622750.400925	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566622754.297088	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566622756.963919	CP1jBbbGOOX4ERRZ8	192.168.134.130	31550	108.167.135.50	80	HTTP_version_mismatch	-	F	bro
1566622759.727966	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566622790.466969	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566622792.269432	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566622877.945986	CvVWql2yAQBCUFRWHb	192.168.134.133	62123	216.58.200.227	443	SYN_after_close	-	F	bro
1566622887.125509	CSVqua2U3FIy4KfG5k	192.168.134.129	21106	35.186.255.8	80	unescaped_special_URI_char	-	F	bro
1566622887.500337	COqgDN1BPieUPPpz3	192.168.134.129	21103	68.67.179.165	80	unescaped_special_URI_char	-	F	bro
1566622890.774233	C7fUhcvOnvOydXqW8	192.168.134.131	27103	216.58.200.227	443	SYN_after_close	-	F	bro
1566622916.458898	CeNVj85nkiICPYeJ8	192.168.134.129	21177	68.67.179.165	80	unescaped_special_URI_char	-	F	bro
1566622916.459443	C7fpRp3lVkVBsdDGb2	192.168.134.129	21178	68.67.179.165	80	unescaped_special_URI_char	-	F	bro
1566622933.586144	CZwODr1sDkSsGibv0g	192.168.134.129	21197	172.217.12.166	443	SYN_after_close	-	F	bro
1566623053.351535	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623053.351535	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623062.709636	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623067.360587	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623090.280697	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566623090.280697	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623090.280998	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566623090.280998	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623093.556157	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623093.556157	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623133.758973	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623133.758973	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623157.922740	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623157.922740	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623167.011572	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623174.713875	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623174.717313	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623183.732670	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623183.732670	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623184.083926	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566623184.083926	-	-	-	-	-	dns_unmatched_msg	-	F	bro
#close	2019-11-16-20-10-06
