#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-19-53-04
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566566406.713332	CjXHo93f0ZvXk6EiMe	192.168.134.131	12179	207.241.232.8	443	TCP_ack_underflow_or_misorder	-	F	bro
1566566490.184377	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566490.627582	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566492.239213	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566498.068548	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566509.379769	-	-	-	-	-	unknown_protocol_2	-	F	bro
1566566515.059999	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566534.035972	Cxwkxq3MvM1BBmgF3g	192.168.134.130	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566566534.036545	CqwHbA1dLmbrhLy1Kc	fe80::31d9:1f63:decf:985a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566566554.135288	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566554.135288	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566617.722865	CD5CCv1C4AzMjvHwKj	192.168.134.129	10289	172.217.13.195	443	SYN_after_close	-	F	bro
1566566649.676156	Csqkho4tGpI4DlvaW3	192.168.134.134	6810	54.76.54.11	80	unescaped_special_URI_char	-	F	bro
1566566688.481157	CwoQ6xaYQsxxuSNu2	192.168.134.133	14176	184.182.243.217	8080	bad_HTTP_request	-	F	bro
1566566688.481157	CwoQ6xaYQsxxuSNu2	192.168.134.133	14176	184.182.243.217	8080	line_terminated_with_single_CR	-	F	bro
1566566688.616315	CMAI8T3RGpCvmksEf8	192.168.134.133	14177	216.211.240.166	8080	bad_HTTP_request	-	F	bro
1566566688.616315	CMAI8T3RGpCvmksEf8	192.168.134.133	14177	216.211.240.166	8080	line_terminated_with_single_CR	-	F	bro
1566566688.630195	CaM5IA3TH1r6sUCQPg	192.168.134.133	14179	158.123.143.141	8080	bad_HTTP_request	-	F	bro
1566566688.630195	CaM5IA3TH1r6sUCQPg	192.168.134.133	14179	158.123.143.141	8080	line_terminated_with_single_CR	-	F	bro
1566566688.630899	CwL7mf1mfAECzuhUx3	192.168.134.133	14178	24.233.95.177	8080	bad_HTTP_request	-	F	bro
1566566688.630899	CwL7mf1mfAECzuhUx3	192.168.134.133	14178	24.233.95.177	8080	line_terminated_with_single_CR	-	F	bro
1566566688.731862	CEoWsS2ImLFBVUeZa8	192.168.134.133	14181	205.201.16.2	8080	bad_HTTP_request	-	F	bro
1566566688.731862	CEoWsS2ImLFBVUeZa8	192.168.134.133	14181	205.201.16.2	8080	line_terminated_with_single_CR	-	F	bro
1566566688.738517	CnyXB32Tx53zPaf1E9	192.168.134.133	14180	216.195.7.66	8080	bad_HTTP_request	-	F	bro
1566566688.738517	CnyXB32Tx53zPaf1E9	192.168.134.133	14180	216.195.7.66	8080	line_terminated_with_single_CR	-	F	bro
1566566688.743878	Czqnqg35q2z02i4Vjf	192.168.134.133	14182	76.96.122.78	8080	bad_HTTP_request	-	F	bro
1566566688.743878	Czqnqg35q2z02i4Vjf	192.168.134.133	14182	76.96.122.78	8080	line_terminated_with_single_CR	-	F	bro
1566566688.835417	CH5NDCjyxG5ErT4W2	192.168.134.133	14183	192.34.85.150	8080	bad_HTTP_request	-	F	bro
1566566688.835417	CH5NDCjyxG5ErT4W2	192.168.134.133	14183	192.34.85.150	8080	line_terminated_with_single_CR	-	F	bro
1566566688.938046	CqAKAb2ODaz4K51gfa	192.168.134.133	14185	216.255.161.234	8080	bad_HTTP_request	-	F	bro
1566566688.938046	CqAKAb2ODaz4K51gfa	192.168.134.133	14185	216.255.161.234	8080	line_terminated_with_single_CR	-	F	bro
1566566689.033741	CfJKHw12U45pCUfA97	192.168.134.133	14186	208.18.87.6	8080	bad_HTTP_request	-	F	bro
1566566689.033741	CfJKHw12U45pCUfA97	192.168.134.133	14186	208.18.87.6	8080	line_terminated_with_single_CR	-	F	bro
1566566726.305687	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566726.305687	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566905.235963	CjyHN21XnRobr4qnU4	192.168.134.134	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566566905.236604	CkOh6T3qzT7s4jGNf8	fe80::e5a9:536:ef8c:4445	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566566935.246395	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566935.246395	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566566951.032308	ChsmEP20vI2DZ2TIgd	192.168.134.135	13689	216.58.199.163	443	SYN_after_close	-	F	bro
1566566951.070031	CAZNdc2rWZo6khhNMg	192.168.134.135	13690	216.58.199.163	443	SYN_after_close	-	F	bro
1566566951.094785	Cj8zeA3luNrelHVnSj	192.168.134.135	13692	216.58.199.163	443	SYN_after_close	-	F	bro
1566566951.155779	Cs2wiR2W0Uhmr2814	192.168.134.135	13691	216.58.199.163	443	SYN_after_close	-	F	bro
1566567023.816111	CFatPA4OjCYsmi0pxl	192.168.134.129	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566567023.816642	CCitMqMXwp9vuZIid	fe80::75f8:a759:bc14:e464	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566567025.511882	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567038.500129	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567038.500195	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567040.021681	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567041.290798	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567041.291552	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567043.818215	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567043.818215	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567055.838854	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567061.291498	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567071.373155	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567071.373155	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567081.074748	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567090.024010	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567090.024010	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567090.775035	CeeoBEPywvkNLcG1d	192.168.134.133	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566567090.775400	CiPUpf2Q3zt2OIqwya	fe80::2008:ce51:e05c:7c1a	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566567095.936208	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567110.100727	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567110.100727	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567110.782213	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567110.782213	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567110.866154	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566567110.866550	-	-	-	-	-	dns_unmatched_msg_quantity	-	F	bro
1566567115.922396	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567115.922396	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567120.101372	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567121.656033	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567121.656342	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567124.667213	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567125.929195	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567130.474408	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567136.189485	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567139.440701	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567139.923476	CuYl3cLho5UBuBAU	192.168.134.131	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566567139.924144	CbZJef4YFNSAmZMPOg	fe80::8cf1:7e9:b3f2:238c	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566567146.003079	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566567146.003079	-	-	-	-	-	dns_unmatched_msg	-	F	bro
#close	2019-11-16-19-53-21
