#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-19-55-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566574673.784571	CypKsS17PDaEeQm2wb	192.168.134.134	31862	23.36.38.117	443	TCP_ack_underflow_or_misorder	-	F	bro
1566575151.459842	CAl1SR3KC3OV9RmAs4	fe80::fde4:9ccf:e7a0:8101	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566575157.312886	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575181.129400	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575181.129400	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575181.470070	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575181.493810	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575195.379894	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575195.596492	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575258.776607	CD3Coj4f2qiTJeYUN9	192.168.134.133	6099	108.167.135.50	80	HTTP_version_mismatch	-	F	bro
1566575317.027397	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575317.027397	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575317.027397	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575317.027397	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575318.421382	CUd0Xx1FelVWDzTdtf	192.168.134.134	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566575318.422263	CMVPr14JPH3kIljKmc	fe80::e5a9:536:ef8c:4445	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566575338.436748	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575338.436748	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575370.581029	C656t81yQCcTTzva7j	192.168.134.129	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566575370.581731	CWDd7f3eJKMowoC57c	fe80::75f8:a759:bc14:e464	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566575390.593851	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575390.593851	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566575431.916631	-	-	-	-	-	dns_unmatched_msg	-	F	bro
#close	2019-11-16-19-56-05
