#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-20-06-40
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566610637.795827	C7oZQ64LOQGL1jIvh2	192.168.134.131	4103	172.232.19.57	443	TCP_ack_underflow_or_misorder	-	F	bro
1566610780.026422	CwR1Gm1OvJrTjCVsb8	192.168.134.133	37745	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610780.180772	CRl8to1ePV80evNox5	192.168.134.133	37760	43.241.76.121	80	inflate_failed	-	F	bro
1566610780.310539	CwR1Gm1OvJrTjCVsb8	192.168.134.133	37745	43.241.76.121	80	inflate_failed	-	F	bro
1566610780.879340	CaIPHa2gBIpgTgvD2c	192.168.134.133	37768	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610781.173497	CaIPHa2gBIpgTgvD2c	192.168.134.133	37768	43.241.76.121	80	inflate_failed	-	F	bro
1566610785.036937	C1m3Wi4gT3NN8MsGx1	192.168.134.133	37769	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610785.333317	C1m3Wi4gT3NN8MsGx1	192.168.134.133	37769	43.241.76.121	80	inflate_failed	-	F	bro
1566610785.902397	CCLM6J1AGSvVxOPZUa	192.168.134.133	37772	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610786.192771	CCLM6J1AGSvVxOPZUa	192.168.134.133	37772	43.241.76.121	80	inflate_failed	-	F	bro
1566610787.604785	C5FN972OAfI3iaBoM8	192.168.134.133	37773	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610787.885401	C5FN972OAfI3iaBoM8	192.168.134.133	37773	43.241.76.121	80	inflate_failed	-	F	bro
1566610787.892284	CJ7Wvw3hfFSVRlNO15	192.168.134.133	37774	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610788.182074	CJ7Wvw3hfFSVRlNO15	192.168.134.133	37774	43.241.76.121	80	inflate_failed	-	F	bro
1566610788.973201	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610788.973201	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610790.311741	CamkHD37rnutlN4da5	192.168.134.133	37775	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610790.433038	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610790.433038	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610790.595748	CqOKYyOPcBC9rxGlc	192.168.134.133	37776	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610790.884629	CqOKYyOPcBC9rxGlc	192.168.134.133	37776	43.241.76.121	80	inflate_failed	-	F	bro
1566610791.203333	CamkHD37rnutlN4da5	192.168.134.133	37775	43.241.76.121	80	inflate_failed	-	F	bro
1566610795.315650	ChuwdBb17I9HMYsO3	192.168.134.133	37778	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610795.593242	C3p1lW1n9hhRqMy4Dc	192.168.134.133	37780	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610795.611285	ChuwdBb17I9HMYsO3	192.168.134.133	37778	43.241.76.121	80	inflate_failed	-	F	bro
1566610795.891603	C3p1lW1n9hhRqMy4Dc	192.168.134.133	37780	43.241.76.121	80	inflate_failed	-	F	bro
1566610797.611982	CX9dgE2mgmL8ebTood	192.168.134.133	37781	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610797.903937	CX9dgE2mgmL8ebTood	192.168.134.133	37781	43.241.76.121	80	inflate_failed	-	F	bro
1566610797.905071	CJbLLN2lAQDwaimSz8	192.168.134.133	37783	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610798.195940	CJbLLN2lAQDwaimSz8	192.168.134.133	37783	43.241.76.121	80	inflate_failed	-	F	bro
1566610799.634245	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610800.334147	CfqFB13FIzIqOvBAye	192.168.134.133	37785	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610800.597137	CxCu8m1BafwkZNmtvj	192.168.134.133	37786	43.241.76.121	80	unescaped_special_URI_char	-	F	bro
1566610800.616978	CfqFB13FIzIqOvBAye	192.168.134.133	37785	43.241.76.121	80	inflate_failed	-	F	bro
1566610800.882946	CxCu8m1BafwkZNmtvj	192.168.134.133	37786	43.241.76.121	80	inflate_failed	-	F	bro
1566610803.502425	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610805.045381	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610805.584071	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610805.584071	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610809.024643	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610847.312828	C6gQql17iRNktTZ2qf	192.168.134.135	3699	213.180.204.50	443	SYN_after_close	-	F	bro
1566610847.315356	CieeeDDxzzcrKW1Ai	192.168.134.135	3697	213.180.204.50	443	SYN_after_close	-	F	bro
1566610855.602684	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610860.153339	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610879.710113	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610886.546397	Cej5nMy86INavuuT9	192.168.134.133	38030	221.235.187.196	443	SYN_after_close	-	F	bro
1566610886.919891	CtGpxj1WDgaqtIwQ27	192.168.134.133	38035	221.235.187.196	443	SYN_after_close	-	F	bro
1566610886.933236	CNbng42DOS5e4lH3Rb	192.168.134.133	38036	221.235.187.196	443	SYN_after_close	-	F	bro
1566610886.937695	Cx7PO53CuCmEQbAQ6e	192.168.134.133	38037	221.235.187.196	443	SYN_after_close	-	F	bro
1566610895.189040	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610997.021730	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610997.021730	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611011.613833	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611037.058403	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611046.919034	CIUBNH1HvTK1seBepe	192.168.134.129	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566611046.919631	CSlHbr2sE9dYDhEYNb	fe80::75f8:a759:bc14:e464	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566611056.309367	ClXfbK2bvKzeSSeUw9	192.168.134.129	2966	172.217.6.226	443	SYN_after_close	-	F	bro
1566611076.933048	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611076.933048	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611091.271052	CJJqsU1XpcE7qAuUAc	192.168.134.129	3055	152.195.32.43	80	inflate_failed	-	F	bro
1566611092.127202	CZ0fdj2mjI0AeZiig9	192.168.134.129	3062	152.195.32.43	80	inflate_failed	-	F	bro
1566611092.845376	CApc234qXiR4lWNe0i	192.168.134.129	3072	35.171.106.77	80	inflate_failed	-	F	bro
1566611094.575781	CN0Job1gMV5vwQ7Qw6	192.168.134.129	3073	152.195.32.43	80	inflate_failed	-	F	bro
1566611099.680437	CAy7os3D3rba5Prm9f	192.168.134.129	3088	68.67.179.121	80	unescaped_special_URI_char	-	F	bro
1566611103.662312	C26sarNKfe8SXwPlk	192.168.134.129	3155	52.46.145.164	80	unescaped_special_URI_char	-	F	bro
1566611107.033587	CdXLRS1lZgjaNNy3T9	192.168.134.129	3173	68.67.179.121	80	unescaped_special_URI_char	-	F	bro
1566611120.037352	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611120.037352	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611128.863959	CZCPAN1ztoPEejuhga	192.168.134.134	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566611128.864534	C3OSZy1ELjzg8Zmt4f	fe80::e5a9:536:ef8c:4445	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566611129.839165	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611134.570682	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611148.869132	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611148.869132	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611269.505831	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611269.505831	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611278.540112	CJP2bX3RMepfd6KRR3	192.168.134.134	25999	68.67.181.202	80	unescaped_special_URI_char	-	F	bro
1566611278.840152	ClRS4h4zyeZfx0hhG1	192.168.134.134	26015	35.186.255.8	80	unescaped_special_URI_char	-	F	bro
1566611279.522180	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611279.522180	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611301.106254	CXzYwr1vyMMNjNIvr6	192.168.134.134	26098	68.67.181.202	80	unescaped_special_URI_char	-	F	bro
1566611329.053868	CjtBWv2MlkQbW0E1vb	192.168.134.132	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566611329.054364	CoLSH33pWLjW8Ik848	fe80::fde4:9ccf:e7a0:8101	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566611357.145053	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611357.145053	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611359.209062	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611359.209062	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611396.885966	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611396.885966	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611408.375431	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611411.446072	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611412.940374	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611415.221205	Cq9rm71pYzflHy6Mg4	192.168.134.135	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566611415.221713	CLczYlgvGuum7R84k	fe80::e03e:de21:7e5d:71cf	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566611428.723605	CqTYTb2bT2rZTxIW6j	192.168.134.129	3646	104.20.111.39	443	SYN_after_close	-	F	bro
1566611445.247028	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611445.247028	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611454.363517	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611454.363517	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611454.816244	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611459.336168	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611464.372715	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611473.021502	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611473.021502	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611487.571445	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566611509.956389	-	-	-	-	-	unknown_protocol_2	-	F	bro
1566611523.303338	-	-	-	-	-	dns_unmatched_msg	-	F	bro
#close	2019-11-16-20-06-54
