#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2019-11-16-19-56-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]
1566577882.347973	C0Wv5cr3SF1KQySSf	192.168.134.132	34360	140.233.2.206	80	1	GET	middlebury.edu	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	149	302	Redirect	-	-	-	(empty)	-	-	-	-	-	F2cBUmPRaLdmjTfzc	text/html
1566577882.740382	CrJPB6Uxhmfq3m9Ff	192.168.134.132	34368	172.217.10.42	80	1	GET	ajax.googleapis.com	/ajax/libs/jqueryui/1.10.2/jquery-ui.min.js	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	228002	200	OK	-	-	-	(empty)	-	-	-	-	-	FfO2hd23wo8e7ueznf	text/plain
1566577882.775603	CNGK2L3K2obqFfnBF6	192.168.134.132	34364	140.233.1.160	80	2	GET	www.middlebury.edu	/sites/all/modules/mm_tweaks/auto_thickbox_plus/auto_thickbox_plus.js?q10z22	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	81	200	OK	-	-	-	(empty)	-	-	-	-	-	FsKuHKSWLGYIdDaG1	text/plain
1566577882.783120	C9wcmOrH5Ehqzg5Pe	192.168.134.132	34367	140.233.1.160	80	2	GET	www.middlebury.edu	/middlebury_story/get/Home?q10z22	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	29173	200	OK	-	-	-	(empty)	-	-	-	-	-	FAD0vFP5hHTpSHqua	text/plain
1566577882.779776	C2w6esOqg5mWmbTIe	192.168.134.132	34362	140.233.1.160	80	4	GET	www.middlebury.edu	/misc/drupal.js?q10z22	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	20219	200	OK	-	-	-	(empty)	-	-	-	-	-	FJOEjjJ99biJM5KK	text/plain
1566577882.787136	Ckd9TZxIvstDvLEqb	192.168.134.132	34366	140.233.1.160	80	2	GET	www.middlebury.edu	/sites/all/modules/mm_tweaks/auto_thickbox_plus/auto-thickbox-plus/thickbox.min.js?q10z22	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	30648	200	OK	-	-	-	(empty)	-	-	-	-	-	Fagsvl4iSqgEr8FVL1	text/plain
1566577882.857539	C6fLyrommsIoU40Le	192.168.134.132	34372	140.233.1.160	80	1	GET	cdn.middlebury.edu	/common/2010/css/whitewhale.open_video.css	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	1464	200	OK	-	-	-	(empty)	-	-	-	-	-	FF5Fwt2pOnrbKoeS19	text/plain
1566577882.865639	CvssGa2oJ3UxTC2I9l	192.168.134.132	34375	140.233.1.160	80	1	GET	cdn.middlebury.edu	/common/2010/js/whitewhale.open_video.js	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	1479	200	OK	-	-	-	(empty)	-	-	-	-	-	FKm5XI3I14v4VzNWc4	text/plain
1566577882.865056	CJDfY2vl0Y0wMgTVg	192.168.134.132	34373	140.233.1.160	80	1	GET	cdn.middlebury.edu	/common/2010/css/mm_media.css	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	4388	200	OK	-	-	-	(empty)	-	-	-	-	-	FlAix3lu0eek35QVe	text/plain
1566577882.866051	CC36yUnw6dFnjLrdf	192.168.134.132	34371	140.233.1.160	80	1	GET	cdn.middlebury.edu	/middlebury.edu/2010/js/go.js	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	1024	200	OK	-	-	-	(empty)	-	-	-	-	-	FnzOdT1l1fC7yiWasl	text/plain
1566577882.860263	Clt9VMlTJsbrq6S6d	192.168.134.132	34370	140.233.1.160	80	1	GET	cdn.middlebury.edu	/middlebury.edu/2010/css/midd.css?2017-09-11	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	68835	200	OK	-	-	-	(empty)	-	-	-	-	-	F9uaTk43GSE6Ap1x8b	text/plain
1566577882.866401	CACkWY1ERwHUznrMdj	192.168.134.132	34374	140.233.1.160	80	1	GET	cdn.middlebury.edu	/middlebury.edu/2010/js/waveform.js	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	15497	200	OK	-	-	-	(empty)	-	-	-	-	-	FOhees21raaYsyv8wa	text/plain
1566577882.880901	C6fLyrommsIoU40Le	192.168.134.132	34372	140.233.1.160	80	2	GET	cdn.middlebury.edu	/middlebury.edu/2010/js/midd.js	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	12139	200	OK	-	-	-	(empty)	-	-	-	-	-	Fj9lJ82MDX0bvcBUmh	text/plain
1566577882.990218	Ckd9TZxIvstDvLEqb	192.168.134.132	34366	140.233.1.160	80	3	GET	www.middlebury.edu	/sites/www.middlebury.edu/files/css/css_VdSJt6UnpM2hLtn_SRJPu3H5DHAb2n4roXsdVBRY4dI.css	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	2003	200	OK	-	-	-	(empty)	-	-	-	-	-	FTtoFu4quzZagvUwK4	text/plain
1566577883.035059	C6fLyrommsIoU40Le	192.168.134.132	34372	140.233.1.160	80	3	GET	cdn.middlebury.edu	/middlebury.edu/2010/images/bluegradient.jpg	http://cdn.middlebury.edu/middlebury.edu/2010/css/midd.css?2017-09-11	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	15953	200	OK	-	-	-	(empty)	-	-	-	-	-	FdEgOjVZgM7Qn9l15	image/jpeg
1566577883.308357	CJDfY2vl0Y0wMgTVg	192.168.134.132	34373	140.233.1.160	80	2	GET	cdn.middlebury.edu	/middlebury.edu/2010/images/dkblue_95trans.png	http://cdn.middlebury.edu/middlebury.edu/2010/css/midd.css?2017-09-11	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	265	200	OK	-	-	-	(empty)	-	-	-	-	-	FccMDj13ZGEPvosrC1	image/png
1566577883.309043	CvssGa2oJ3UxTC2I9l	192.168.134.132	34375	140.233.1.160	80	2	GET	cdn.middlebury.edu	/middlebury.edu/2010/images/nav_footer.gif	http://cdn.middlebury.edu/middlebury.edu/2010/css/midd.css?2017-09-11	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	11855	200	OK	-	-	-	(empty)	-	-	-	-	-	FwyV6I4ngjySUvQh	image/gif
1566577883.304594	CACkWY1ERwHUznrMdj	192.168.134.132	34374	140.233.1.160	80	2	GET	cdn.middlebury.edu	/middlebury.edu/2010/images/logo.png	http://cdn.middlebury.edu/middlebury.edu/2010/css/midd.css?2017-09-11	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	10617	200	OK	-	-	-	(empty)	-	-	-	-	-	F7W7QJ2dTQZeJECHf5	image/png
1566577883.302710	C6fLyrommsIoU40Le	192.168.134.132	34372	140.233.1.160	80	4	GET	cdn.middlebury.edu	/middlebury.edu/2010/images/nav_bottom.gif?2017-06-28	http://cdn.middlebury.edu/middlebury.edu/2010/css/midd.css?2017-09-11	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	16723	200	OK	-	-	-	(empty)	-	-	-	-	-	FdMulW12ZfS0vZ8kI2	image/gif
1566577883.303743	Clt9VMlTJsbrq6S6d	192.168.134.132	34370	140.233.1.160	80	2	GET	cdn.middlebury.edu	/middlebury.edu/2010/images/nav_top.gif?2015-01-28	http://cdn.middlebury.edu/middlebury.edu/2010/css/midd.css?2017-09-11	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	16321	200	OK	-	-	-	(empty)	-	-	-	-	-	FTQKza4EEZfICRde1b	image/gif
1566577883.319944	C7Ul2M2xMmVPvrOT02	192.168.134.132	34376	172.217.11.8	80	1	GET	www.googletagmanager.com	/gtm.js?id=GTM-NB55WH	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	91597	200	OK	-	-	-	(empty)	-	-	-	-	-	FGA6fa3bbdcjDmHClb	text/plain
1566577883.309934	CC36yUnw6dFnjLrdf	192.168.134.132	34371	140.233.1.160	80	2	GET	cdn.middlebury.edu	/middlebury.edu/2010/images/footer_campusaerial.jpg	http://cdn.middlebury.edu/middlebury.edu/2010/css/midd.css?2017-09-11	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	141540	200	OK	-	-	-	(empty)	-	-	-	-	-	FAerrB1zRjYHMuDQTf	image/jpeg
1566577883.623487	Ckd9TZxIvstDvLEqb	192.168.134.132	34366	140.233.1.160	80	4	GET	www.middlebury.edu	/sites/all/modules/jquery_update/replace/ui/themes/base/minified/images/ui-bg_flat_75_ffffff_40x100.png	http://www.middlebury.edu/sites/www.middlebury.edu/files/css/css_y5V-74fl2u3TPnO7Vzl0srF2_LEAmcANj4_-6qPJyxk.css	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	178	200	OK	-	-	-	(empty)	-	-	-	-	-	FNZEGc4Vn2jlouKyMg	image/png
1566577883.936622	Ckd9TZxIvstDvLEqb	192.168.134.132	34366	140.233.1.160	80	5	GET	www.middlebury.edu	/sites/all/modules/mm_tweaks/auto_thickbox_plus/auto-thickbox-plus/images/loadingAnimation.gif	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	5886	200	OK	-	-	-	(empty)	-	-	-	-	-	FndGj5YwmnWqfQaKc	image/gif
1566577883.934273	CC36yUnw6dFnjLrdf	192.168.134.132	34371	140.233.1.160	80	3	GET	cdn.middlebury.edu	/middlebury.edu/2010/images/arrow_go.gif	http://cdn.middlebury.edu/middlebury.edu/2010/css/midd.css?2017-09-11	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	183	200	OK	-	-	-	(empty)	-	-	-	-	-	F98xKj0OdTpYSzWLg	image/gif
1566577883.935495	CACkWY1ERwHUznrMdj	192.168.134.132	34374	140.233.1.160	80	3	GET	cdn.middlebury.edu	/middlebury.edu/2010/images/nav_affiliates.gif?2015-04-29	http://cdn.middlebury.edu/middlebury.edu/2010/css/midd.css?2017-09-11	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	31773	200	OK	-	-	-	(empty)	-	-	-	-	-	FafheQ1WOe9W9u2Tke	image/gif
1566577884.010155	C9wcmOrH5Ehqzg5Pe	192.168.134.132	34367	140.233.1.160	80	3	GET	www.middlebury.edu	/media/view/630663/original/eggleston_boat_home_bw.jpg	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	64754	200	OK	-	-	-	(empty)	-	-	-	-	-	F32LoK3pg66octNJg2	image/jpeg
1566577884.864330	CiGdlm3a6bUgPReTp	192.168.134.132	34378	108.161.188.128	80	1	GET	cdn.pardot.com	/pd.js	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	5095	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx0Yff2sLavbjxC1H1	text/plain
1566577884.927947	C9wcmOrH5Ehqzg5Pe	192.168.134.132	34367	140.233.1.160	80	4	GET	www.middlebury.edu	/media/view/630666/original/eggleston_boat.jpg	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	85704	200	OK	-	-	-	(empty)	-	-	-	-	-	F5mfd749fb93L5mj8i	image/jpeg
1566577885.043881	Cd8Z7p1frxMdIfRwxh	192.168.134.132	34380	52.202.69.186	80	1	GET	pi.pardot.com	/analytics?ver=3&visitor_id=&pi_opt_in=&campaign_id=1742&account_id=75172&title=Middlebury&url=http://www.middlebury.edu/#story630672&referrer=	http://www.middlebury.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	3618	200	OK	-	-	-	(empty)	-	-	-	-	-	Fpzjj81DKpFRvnaLl	text/plain
1566577885.443998	CkSJAz2xOduYGA1Gnk	192.168.134.132	34381	146.163.252.208	80	1	GET	siue.edu	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	39580	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ5TXE4FzmUsP1XVR2	text/html
1566577885.703127	CkSJAz2xOduYGA1Gnk	192.168.134.132	34381	146.163.252.208	80	2	GET	siue.edu	/_files/2016/css/global/header-links-homepage-2016.min.css	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	28327	200	OK	-	-	-	(empty)	-	-	-	-	-	F6mpuvs5AFFDjgkke	text/plain
1566577885.742374	C0PSqe1GxWQKvdwmNg	192.168.134.132	34384	146.163.252.208	80	1	GET	siue.edu	/_files/2016/css/local/flexslider.min.css	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	5011	200	OK	-	-	-	(empty)	-	-	-	-	-	FFD0SS7zOqNeexble	text/plain
1566577885.744129	CCUEjX1pXQ6AppsDFi	192.168.134.132	34385	146.163.252.208	80	1	GET	siue.edu	/_files/2016/js/local/flexslider.min.js	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	22902	200	OK	-	-	-	(empty)	-	-	-	-	-	FD6yPQ35NoViyTnva1	text/plain
1566577885.744581	CmQn1zRsFeN2PXrTe	192.168.134.132	34387	146.163.252.208	80	1	GET	siue.edu	/_files/2016/img/menu-arrow-up.png	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	450	200	OK	-	-	-	(empty)	-	-	-	-	-	F8T3mrCHQNzA5yYo2	image/png
1566577885.750243	CV8gHPi2gs84EaWzd	192.168.134.132	34388	146.163.252.208	80	1	GET	siue.edu	/_files/images/logo-webmail.png	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	1410	200	OK	-	-	-	(empty)	-	-	-	-	-	F7TFe62cxyu90xcCFg	image/png
1566577885.742710	ChWBa320bwfwBYTvLf	192.168.134.132	34386	146.163.252.208	80	1	GET	siue.edu	/_files/2016/js/global/header-links-homepage-2016.min.js	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	143504	200	OK	-	-	-	(empty)	-	-	-	-	-	FnZbuA27AzEEtztmAi	text/plain
1566577885.870348	CCUEjX1pXQ6AppsDFi	192.168.134.132	34385	146.163.252.208	80	2	GET	siue.edu	/_files/images/logo-blackboard.png	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	1621	200	OK	-	-	-	(empty)	-	-	-	-	-	FJVmPm1KTlvxgtvAdg	image/png
1566577885.872404	CmQn1zRsFeN2PXrTe	192.168.134.132	34387	146.163.252.208	80	2	GET	siue.edu	/_files/images/logo-cougarnet.png	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	1244	200	OK	-	-	-	(empty)	-	-	-	-	-	FAproj2NXRnHNlwvb5	image/png
1566577885.989178	CCUEjX1pXQ6AppsDFi	192.168.134.132	34385	146.163.252.208	80	3	GET	siue.edu	/_files/2016/img/menu-arrow-down.png	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	302	200	OK	-	-	-	(empty)	-	-	-	-	-	FfDtqQ11SjxylbA9al	image/png
1566577885.987930	CmQn1zRsFeN2PXrTe	192.168.134.132	34387	146.163.252.208	80	3	GET	siue.edu	/_files/images/starfish-logo.png	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	17967	200	OK	-	-	-	(empty)	-	-	-	-	-	F9Mtu23D5ZRxyo2MI7	image/png
1566577885.993193	C0PSqe1GxWQKvdwmNg	192.168.134.132	34384	146.163.252.208	80	2	GET	siue.edu	/_files/2016/img/menu.png	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	324	200	OK	-	-	-	(empty)	-	-	-	-	-	F5TcqH1pWHmCJco709	image/png
1566577885.992075	CV8gHPi2gs84EaWzd	192.168.134.132	34388	146.163.252.208	80	2	GET	siue.edu	/_files/2016/img/logo-siue.png	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	5166	200	OK	-	-	-	(empty)	-	-	-	-	-	FA3M8H2BJRk6RUCpQ1	image/png
1566577885.990202	ChWBa320bwfwBYTvLf	192.168.134.132	34386	146.163.252.208	80	2	GET	siue.edu	/_files/2016/img/dismiss.png	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	2222	200	OK	-	-	-	(empty)	-	-	-	-	-	FzUX9j17IMUygwl7x2	image/png
1566577886.026068	CLQOaPKBCmFbJ7JCd	192.168.134.132	34392	172.217.10.246	80	1	GET	i.ytimg.com	/vi/PTIaW7HpKxQ/mqdefault.jpg	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	11784	200	OK	-	-	-	(empty)	-	-	-	-	-	FMDOrx2n4R2N988Ov6	image/jpeg
1566577886.029062	C6HaVF4q7b2i0LAMB6	192.168.134.132	34390	172.217.10.246	80	1	GET	i.ytimg.com	/vi/m08uN3r1rWs/mqdefault.jpg	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	7003	200	OK	-	-	-	(empty)	-	-	-	-	-	FcOZ150tGjGtQBsPb	image/jpeg
1566577886.031931	C1xSzc413tgqbxCPmb	192.168.134.132	34391	172.217.10.246	80	1	GET	i.ytimg.com	/vi/xNLZza03t7U/mqdefault.jpg	http://siue.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	9891	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq6r9uHtkuFIMzqQe	image/jpeg
